step,mean_reward,std_reward,min_reward,max_reward,mean_length
5000000,6784.349,21.355,6757.746,6809.433,1000.000
4600000,6744.175,71.296,6612.640,6802.408,1000.000
4900000,6702.615,22.991,6666.579,6724.116,1000.000
4200000,6652.197,16.529,6636.470,6680.779,1000.000
4300000,6642.718,21.127,6613.723,6667.693,1000.000
4700000,6623.434,20.275,6600.345,6653.502,1000.000
4000000,6578.966,20.748,6554.179,6610.738,1000.000
4400000,6556.328,29.675,6502.132,6582.777,1000.000
4500000,6548.726,318.220,5913.468,6741.786,975.800
3800000,6445.598,26.974,6412.983,6494.181,1000.000
3700000,6418.716,19.037,6388.560,6445.919,1000.000
3300000,6403.795,19.731,6377.473,6427.137,1000.000
3100000,6298.468,13.053,6275.959,6316.499,1000.000
3900000,6289.117,16.572,6266.098,6309.054,1000.000
3200000,6266.951,7.201,6254.198,6275.678,1000.000
3000000,6241.283,22.425,6214.630,6270.025,1000.000
3500000,6237.643,10.686,6222.688,6251.605,1000.000
2000000,6226.461,12.047,6206.036,6238.637,1000.000
2700000,6197.591,17.831,6174.805,6227.817,1000.000
3600000,6137.172,97.359,6042.543,6325.045,1000.000
4100000,6124.249,21.484,6089.217,6156.841,1000.000
2200000,6003.939,70.611,5930.759,6115.873,1000.000
2800000,5996.557,27.682,5974.258,6049.689,1000.000
1900000,5995.138,26.631,5951.293,6033.675,1000.000
1700000,5984.600,15.421,5964.748,6004.011,1000.000
2600000,5917.159,44.446,5851.276,5978.464,1000.000
1600000,5804.870,39.511,5759.620,5877.387,1000.000
1300000,5783.818,14.279,5766.528,5808.139,1000.000
2100000,5779.356,69.671,5714.051,5909.332,1000.000
1500000,5621.115,22.730,5581.341,5650.696,1000.000
2500000,5382.595,762.539,3858.633,5818.217,935.800
1000000,5312.234,92.943,5213.458,5488.403,1000.000
900000,5310.993,27.320,5262.060,5337.579,1000.000
2300000,5280.189,1539.504,2201.347,6074.449,873.200
1100000,5272.579,55.338,5171.331,5330.357,1000.000
700000,5132.018,38.349,5079.915,5182.672,1000.000
3400000,5098.069,2005.270,1103.992,6246.374,828.400
1400000,4736.199,1936.258,894.492,5900.085,818.400
2900000,4577.191,1779.585,1678.734,6289.007,733.000
4800000,4219.412,3018.430,461.686,6719.690,640.800
1200000,4011.339,1456.498,1794.448,5328.803,787.000
400000,3930.425,1355.429,1219.864,4640.635,848.600
800000,3614.237,1444.182,1974.129,5387.804,677.200
500000,2630.767,1134.463,778.492,3688.855,528.200
300000,1648.831,1055.590,602.277,3631.974,338.600
1800000,1615.075,2194.063,420.565,6000.042,287.200
2400000,1051.216,259.945,831.652,1547.691,190.000
200000,917.498,287.464,560.951,1325.009,189.200
600000,630.586,187.509,347.571,858.023,130.000
100000,432.117,32.279,395.149,490.705,95.600
